time_s,true_position_m,measured_position_m,kalman_position_m,kalman_velocity_m_per_s,kalman_acceleration_m_per_s2,moving_average_m
0.680000,1.315520,1.364798,1.338495,0.398551,-0.342412,1.294364
0.700000,1.322000,1.412318,1.358580,0.451790,-0.213445,1.312970
0.720000,1.328320,1.319204,1.358694,0.404311,-0.304620,1.321822
0.740000,1.334480,1.267267,1.348602,0.311310,-0.484765,1.318800
0.760000,1.340480,1.274522,1.340245,0.233167,-0.624070,1.316946
0.780000,1.346320,1.398367,1.354370,0.265273,-0.535006,1.325316
0.800000,1.352000,1.411460,1.368757,0.296621,-0.452586,1.334069
0.820000,1.357520,1.400972,1.379219,0.308358,-0.412608,1.328763
0.840000,1.362880,1.309639,1.372202,0.242140,-0.521968,1.333039
0.860000,1.368080,1.386653,1.378602,0.238927,-0.508594,1.344453
0.880000,1.373120,1.382455,1.383140,0.228160,-0.509674,1.357060
0.900000,1.378000,1.395495,1.388918,0.223497,-0.499820,1.359850
0.920000,1.382720,1.452434,1.403023,0.253689,-0.429547,1.363497
0.940000,1.387280,1.405168,1.407549,0.243225,-0.432762,1.371312
0.960000,1.391680,1.445993,1.417720,0.256072,-0.396535,1.387560
0.980000,1.395920,1.401326,1.419375,0.234869,-0.418491,1.399088
1.000000,1.400000,1.423130,1.423855,0.225984,-0.419329,1.401339
1.020000,1.403920,1.454423,1.432306,0.232801,-0.395062,1.405244
1.040000,1.407680,1.291108,1.414797,0.142672,-0.524023,1.395257
1.060000,1.411280,1.385706,1.412789,0.114777,-0.550867,1.402172
1.080000,1.414720,1.377090,1.409394,0.083664,-0.581319,1.401303
1.100000,1.418000,1.366890,1.404551,0.049366,-0.615103,1.399888
1.120000,1.421120,1.399109,1.404512,0.033915,-0.619718,1.400216
1.140000,1.424080,1.543675,1.424645,0.088678,-0.522872,1.408511
1.160000,1.426880,1.357614,1.416744,0.045907,-0.568731,1.404188
1.180000,1.429520,1.506982,1.429837,0.075380,-0.511665,1.409732
1.200000,1.432000,1.297370,1.413097,0.005756,-0.593364,1.400282
1.220000,1.434320,1.407529,1.412350,-0.008510,-0.596614,1.398863
1.240000,1.436480,1.449500,1.416999,-0.004756,-0.575676,1.398416
1.260000,1.438480,1.485378,1.425718,0.011671,-0.538924,1.416077
1.280000,1.440320,1.497218,1.435013,0.029172,-0.502258,1.426214
1.300000,1.442000,1.505468,1.444368,0.046100,-0.467775,1.437885
1.320000,1.443520,1.415622,1.441495,0.025649,-0.481765,1.442315
1.340000,1.444880,1.407892,1.437708,0.003586,-0.497221,1.443113
1.360000,1.446080,1.514718,1.447080,0.021050,-0.463583,1.440481
1.380000,1.447120,1.431816,1.445529,0.006374,-0.470131,1.447227
1.400000,1.448000,1.345945,1.433707,-0.036684,-0.510380,1.432587
1.420000,1.448720,1.358057,1.424075,-0.071535,-0.539484,1.438104
1.440000,1.449280,1.375724,1.417099,-0.097364,-0.557030,1.435212
1.460000,1.449680,1.489453,1.423581,-0.085180,-0.530143,1.438845
1.480000,1.449920,1.461314,1.426257,-0.083685,-0.516361,1.436657
1.500000,1.450000,1.505239,1.433534,-0.069889,-0.489192,1.437386
1.520000,1.449920,1.415740,1.430232,-0.084428,-0.494488,1.429229
1.540000,1.449680,1.462363,1.432161,-0.084649,-0.483836,1.433478
1.560000,1.449280,1.499327,1.437843,-0.075113,-0.462896,1.441791
1.580000,1.448720,1.423972,1.434933,-0.087715,-0.466503,1.433541
1.600000,1.448000,1.484542,1.438539,-0.083334,-0.451863,1.438334
1.620000,1.447120,1.394166,1.432313,-0.103482,-0.463611,1.442718
1.640000,1.446080,1.417036,1.428790,-0.116101,-0.467115,1.448080
1.660000,1.444880,1.414341,1.425139,-0.128450,-0.470235,1.451590
1.680000,1.443520,1.347853,1.414893,-0.156117,-0.489013,1.438718
1.700000,1.442000,1.480958,1.418642,-0.149283,-0.472079,1.440503
1.720000,1.440320,1.402768,1.414288,-0.161732,-0.475118,1.431188
1.740000,1.438480,1.439480,1.413771,-0.164661,-0.468529,1.433346
1.760000,1.436480,1.474940,1.416689,-0.159438,-0.454015,1.434489
1.780000,1.434320,1.470042,1.418887,-0.155956,-0.441617,1.431827
1.800000,1.432000,1.485231,1.422344,-0.149645,-0.426780,1.437396
1.820000,1.429520,1.421641,1.419492,-0.157673,-0.426286,1.431678
1.840000,1.426880,1.393016,1.414067,-0.171078,-0.431001,1.431573
1.860000,1.424080,1.417703,1.411225,-0.178224,-0.429586,1.431634
1.880000,1.421120,1.286133,1.396351,-0.211451,-0.453089,1.419979
1.900000,1.418000,1.302231,1.383803,-0.238425,-0.470078,1.415831
1.920000,1.414720,1.308904,1.372578,-0.261570,-0.483038,1.400190
1.940000,1.411280,1.331500,1.364029,-0.278133,-0.489513,1.393711
1.960000,1.407680,1.439662,1.365633,-0.272471,-0.475092,1.393728
1.980000,1.403920,1.331482,1.357552,-0.287328,-0.480066,1.380686
2.000000,1.400000,1.369747,1.353296,-0.293603,-0.476990,1.371568
2.020000,1.395920,1.499858,1.360640,-0.275423,-0.451472,1.372898
2.040000,1.391680,1.363179,1.355746,-0.282994,-0.450135,1.367583
2.060000,1.387280,1.446281,1.358275,-0.274984,-0.434594,1.372425
2.080000,1.382720,1.308031,1.348876,-0.291461,-0.441680,1.362455
2.100000,1.378000,1.361565,1.344536,-0.297093,-0.438776,1.369313
2.120000,1.373120,1.297118,1.335023,-0.312899,-0.445136,1.368848
2.140000,1.368080,1.340957,1.329702,-0.319741,-0.443277,1.371762
2.160000,1.362880,1.430105,1.332095,-0.310889,-0.427332,1.380726
2.180000,1.357520,1.219334,1.317008,-0.336877,-0.442993,1.360696
2.200000,1.352000,1.386754,1.316460,-0.333333,-0.431877,1.365721
2.220000,1.346320,1.365339,1.314240,-0.333057,-0.423904,1.365320
2.240000,1.340480,1.292948,1.306316,-0.343841,-0.425964,1.346510
2.260000,1.334480,1.218795,1.292867,-0.365002,-0.437238,1.333384
2.280000,1.328320,1.334090,1.289372,-0.366194,-0.430510,1.323185
2.300000,1.322000,1.279641,1.281777,-0.375161,-0.430828,1.320604
2.320000,1.315520,1.334134,1.278936,-0.374635,-0.422698,1.318111
2.340000,1.308880,1.310628,1.274453,-0.377153,-0.417422,1.319339
2.360000,1.302080,1.430222,1.279637,-0.361010,-0.395667,1.327454
2.380000,1.295120,1.275972,1.272621,-0.368383,-0.395187,1.313442
2.400000,1.288000,1.206120,1.260589,-0.384999,-0.402922,1.312240
2.420000,1.280720,1.295062,1.256074,-0.386870,-0.397429,1.303905
2.440000,1.273280,1.290880,1.251538,-0.388622,-0.391927,1.297136
2.460000,1.265680,1.374415,1.253705,-0.377584,-0.375160,1.304542
2.480000,1.257920,1.324729,1.252081,-0.373804,-0.365135,1.314172
2.500000,1.250000,1.278550,1.247118,-0.376257,-0.360824,1.309123
2.520000,1.241920,1.358984,1.248567,-0.366540,-0.345763,1.316336
2.540000,1.233680,1.138579,1.233427,-0.387916,-0.358632,1.298558
2.560000,1.225280,1.174100,1.221725,-0.402309,-0.365063,1.286147
2.580000,1.216720,1.142594,1.208284,-0.419517,-0.373894,1.259999
2.600000,1.208000,1.176815,1.198100,-0.430189,-0.376743,1.250984
2.620000,1.199120,1.088985,1.181942,-0.451607,-0.389141,1.240336
2.640000,1.190080,1.240892,1.177885,-0.450021,-0.380767,1.235411
2.660000,1.180880,1.163102,1.168386,-0.458419,-0.381467,1.223795
2.680000,1.171520,1.053855,1.151367,-0.480432,-0.394349,1.194653
2.700000,1.162000,1.080754,1.137192,-0.496613,-0.401785,1.172474
2.720000,1.152320,1.177401,1.130869,-0.497834,-0.395668,1.163278
2.740000,1.142480,1.209530,1.127336,-0.493747,-0.384886,1.149692
2.760000,1.132480,1.292218,1.130174,-0.477855,-0.363668,1.163659
2.780000,1.122320,1.355429,1.137692,-0.453519,-0.335204,1.180143
2.800000,1.112000,1.145153,1.129764,-0.457994,-0.333195,1.180376
2.820000,1.101520,1.022357,1.113397,-0.477811,-0.345064,1.166334
2.840000,1.090880,0.920316,1.090451,-0.509238,-0.367222,1.151001
2.860000,1.080080,1.101497,1.081737,-0.513740,-0.364651,1.138328
2.880000,1.069120,1.004085,1.066518,-0.529999,-0.372768,1.123872
2.900000,1.058000,1.024771,1.053597,-0.541588,-0.376514,1.121228
2.920000,1.046720,0.997752,1.039446,-0.555087,-0.381929,1.113683
2.940000,1.035280,1.024017,1.027962,-0.563290,-0.382441,1.099739
2.960000,1.023680,1.108958,1.023269,-0.558702,-0.371320,1.090596
2.980000,1.011920,1.024484,1.012918,-0.564479,-0.369819,1.066256
3.000000,1.000000,0.987309,1.000530,-0.573759,-0.371534,1.032791
3.020000,0.987920,0.905068,0.982955,-0.592280,-0.381640,1.010965
3.040000,0.975680,0.841705,0.961754,-0.616993,-0.397218,0.994542
3.060000,0.963280,0.924375,0.947545,-0.628231,-0.400225,0.994911
3.080000,0.950720,0.946417,0.935726,-0.634717,-0.398837,0.980813
3.100000,0.938000,1.079434,0.934156,-0.622059,-0.379977,0.987663
3.120000,0.925120,0.935542,0.922634,-0.627826,-0.378301,0.979551
3.140000,0.912080,0.990699,0.915773,-0.624759,-0.368569,0.978910
3.160000,0.898880,0.858936,0.900040,-0.637962,-0.373909,0.963903
3.180000,0.885520,0.790724,0.880311,-0.658148,-0.385552,0.934972
3.200000,0.872000,0.794791,0.861908,-0.675377,-0.394278,0.914091
3.220000,0.858320,0.800302,0.844892,-0.689585,-0.400077,0.897090
3.240000,0.844480,1.014758,0.844137,-0.673396,-0.377880,0.907062
3.260000,0.830480,0.764769,0.825896,-0.689620,-0.385835,0.900068
3.280000,0.816320,0.883399,0.817119,-0.687940,-0.377207,0.896343
3.300000,0.802000,0.729766,0.798040,-0.705163,-0.386098,0.876647
3.320000,0.787520,0.862046,0.789436,-0.702592,-0.376639,0.856885
3.340000,0.772880,0.803676,0.777332,-0.706390,-0.373207,0.844897
3.360000,0.758080,0.745549,0.761876,-0.716169,-0.375335,0.822611
3.380000,0.743120,0.739859,0.746935,-0.724678,-0.376257,0.811785
3.400000,0.728000,0.675617,0.728320,-0.739676,-0.383130,0.801321
3.420000,0.712720,0.748406,0.715942,-0.742736,-0.378896,0.797104
3.440000,0.697280,0.660881,0.698150,-0.755598,-0.383758,0.784430
3.460000,0.681680,0.583632,0.675881,-0.776356,-0.395796,0.745236
3.480000,0.665920,0.563685,0.653390,-0.796993,-0.407504,0.726956
3.500000,0.650000,0.663807,0.639253,-0.801661,-0.404299,0.706993
3.520000,0.633920,0.760247,0.632912,-0.791686,-0.387675,0.709764
3.540000,0.617680,0.630479,0.617961,-0.797664,-0.386040,0.688713
3.560000,0.601280,0.591789,0.601208,-0.806721,-0.387270,0.669450
3.580000,0.584720,0.607586,0.586606,-0.811490,-0.384530,0.656908
3.600000,0.568000,0.672480,0.577582,-0.805719,-0.372137,0.650783
3.620000,0.551120,0.568671,0.561912,-0.812203,-0.371255,0.641060
3.640000,0.534080,0.501206,0.542430,-0.825476,-0.376639,0.618588
3.660000,0.516880,0.605383,0.531514,-0.822531,-0.366992,0.613542
3.680000,0.499520,0.533821,0.516333,-0.827390,-0.364708,0.609014
3.700000,0.482000,0.604860,0.507206,-0.820832,-0.351956,0.612757
3.720000,0.464320,0.478979,0.489883,-0.829418,-0.353379,0.595955
3.740000,0.446480,0.348522,0.464335,-0.852911,-0.368500,0.558525
3.760000,0.428480,0.319027,0.438068,-0.877164,-0.384041,0.530211
3.780000,0.410320,0.542394,0.429139,-0.868784,-0.369257,0.525721
3.800000,0.392000,0.529893,0.420114,-0.860602,-0.354929,0.518658
3.820000,0.373520,0.359158,0.399719,-0.873452,-0.360222,0.490174
3.840000,0.354880,0.324225,0.378047,-0.888287,-0.367245,0.467952
3.860000,0.336080,0.452996,0.366821,-0.883416,-0.356003,0.463569
3.880000,0.317120,0.228556,0.340492,-0.906402,-0.370604,0.429312
3.900000,0.298000,0.226422,0.315458,-0.926433,-0.382216,0.401367
3.920000,0.278720,0.330186,0.299228,-0.929690,-0.378179,0.376396
3.940000,0.259280,0.227712,0.276793,-0.944208,-0.384578,0.353554
3.960000,0.239680,0.239270,0.256510,-0.954341,-0.386825,0.343622
3.980000,0.219920,0.206845,0.235172,-0.966090,-0.390516,0.333423
4.000000,0.200000,0.227006,0.216573,-0.972423,-0.389157,0.304752
4.020000,0.179920,0.292519,0.203848,-0.967651,-0.377606,0.283172
4.040000,0.159680,0.166927,0.183173,-0.977503,-0.379722,0.265697
4.060000,0.139280,0.190795,0.165488,-0.981515,-0.376427,0.253567
4.080000,0.118720,-0.045294,0.132173,-1.014160,-0.399531,0.208268
4.100000,0.098000,0.094103,0.110548,-1.024478,-0.401672,0.196045
4.120000,0.077120,0.009662,0.084258,-1.043065,-0.411380,0.176339
4.140000,0.056080,-0.041425,0.055856,-1.065053,-0.424038,0.142556
4.160000,0.034880,-0.035372,0.029497,-1.082708,-0.432477,0.118639
4.180000,0.013520,-0.013210,0.006263,-1.094111,-0.435010,0.095687
4.200000,-0.008000,0.065272,-0.009941,-1.092178,-0.425229,0.082817
4.220000,-0.029680,-0.135791,-0.039268,-1.114326,-0.437779,0.049835
4.240000,-0.051520,-0.049069,-0.060747,-1.121432,-0.436261,0.018781
4.260000,-0.073520,-0.112254,-0.085326,-1.133962,-0.439761,-0.006599
4.280000,-0.095680,-0.121894,-0.109076,-1.144568,-0.441427,-0.035025
4.300000,-0.118000,-0.037779,-0.125346,-1.141027,-0.430048,-0.034342
4.320000,-0.140480,-0.097431,-0.144635,-1.142960,-0.423915,-0.051754
4.340000,-0.163120,-0.056128,-0.159649,-1.136820,-0.410468,-0.057735
4.360000,-0.185920,-0.198280,-0.183592,-1.147103,-0.412376,-0.071994
4.380000,-0.208880,-0.264555,-0.210739,-1.162948,-0.419365,-0.092829
4.400000,-0.232000,-0.249909,-0.235208,-1.173411,-0.421274,-0.114347
4.420000,-0.255280,-0.235880,-0.257133,-1.178837,-0.418514,-0.141725
4.440000,-0.278720,-0.264594,-0.279641,-1.185083,-0.416561,-0.153434
4.460000,-0.302320,-0.389071,-0.309518,-1.204640,-0.426888,-0.184343
4.480000,-0.326080,-0.318841,-0.332639,-1.211231,-0.425097,-0.203124
4.500000,-0.350000,-0.331742,-0.355156,-1.216430,-0.422058,-0.222201
4.520000,-0.374080,-0.172682,-0.364856,-1.197764,-0.397118,-0.234465
4.540000,-0.398320,-0.248172,-0.378885,-1.187271,-0.380156,-0.248169
4.560000,-0.422720,-0.490979,-0.408983,-1.206437,-0.390796,-0.287701
4.580000,-0.447280,-0.470271,-0.435826,-1.219110,-0.395265,-0.312427
4.600000,-0.472000,-0.589075,-0.469444,-1.243884,-0.410786,-0.341929
4.620000,-0.496880,-0.544137,-0.497940,-1.258613,-0.416779,-0.368677
4.640000,-0.521920,-0.496672,-0.521310,-1.263475,-0.413583,-0.392385
4.660000,-0.547120,-0.450652,-0.539837,-1.259174,-0.402014,-0.409299
4.680000,-0.572480,-0.630807,-0.569771,-1.275818,-0.409931,-0.431275
4.700000,-0.598000,-0.650332,-0.599276,-1.291213,-0.416554,-0.461411
4.720000,-0.623680,-0.795463,-0.637287,-1.321836,-0.437071,-0.503567
4.740000,-0.649520,-0.662533,-0.663720,-1.330411,-0.436917,-0.548099
4.760000,-0.675520,-0.760513,-0.695398,-1.348325,-0.445362,-0.594676
4.780000,-0.701680,-0.744035,-0.723987,-1.360057,-0.447962,-0.617681
4.800000,-0.728000,-0.798149,-0.754609,-1.375152,-0.453609,-0.647488
4.820000,-0.754480,-0.762021,-0.780768,-1.381582,-0.451178,-0.663210
4.840000,-0.781120,-0.921738,-0.816538,-1.405428,-0.464822,-0.697538
4.860000,-0.807920,-0.925284,-0.850463,-1.425266,-0.474526,-0.736502
4.880000,-0.834880,-0.664540,-0.863820,-1.406681,-0.448681,-0.755947
4.900000,-0.862000,-0.964994,-0.897227,-1.425202,-0.457469,-0.786327
4.920000,-0.889280,-0.977023,-0.929460,-1.441052,-0.463638,-0.816027
4.940000,-0.916720,-0.769767,-0.944973,-1.425642,-0.440915,-0.813691
4.960000,-0.944320,-0.711915,-0.954983,-1.400219,-0.409391,-0.818180
4.980000,-0.972080,-1.065805,-0.988947,-1.419234,-0.419359,-0.845934
