time_s,measured_position_m,true_position_m
3.180000,0.790724,0.885520
3.200000,0.794791,0.872000
3.220000,0.800302,0.858320
3.240000,1.014758,0.844480
3.260000,0.764769,0.830480
3.280000,0.883399,0.816320
3.300000,0.729766,0.802000
3.320000,0.862046,0.787520
3.340000,0.803676,0.772880
3.360000,0.745549,0.758080
3.380000,0.739859,0.743120
3.400000,0.675617,0.728000
3.420000,0.748406,0.712720
3.440000,0.660881,0.697280
3.460000,0.583632,0.681680
3.480000,0.563685,0.665920
3.500000,0.663807,0.650000
3.520000,0.760247,0.633920
3.540000,0.630479,0.617680
3.560000,0.591789,0.601280
3.580000,0.607586,0.584720
3.600000,0.672480,0.568000
3.620000,0.568671,0.551120
3.640000,0.501206,0.534080
3.660000,0.605383,0.516880
3.680000,0.533821,0.499520
3.700000,0.604860,0.482000
3.720000,0.478979,0.464320
3.740000,0.348522,0.446480
3.760000,0.319027,0.428480
3.780000,0.542394,0.410320
3.800000,0.529893,0.392000
3.820000,0.359158,0.373520
3.840000,0.324225,0.354880
3.860000,0.452996,0.336080
3.880000,0.228556,0.317120
3.900000,0.226422,0.298000
3.920000,0.330186,0.278720
3.940000,0.227712,0.259280
3.960000,0.239270,0.239680
3.980000,0.206845,0.219920
4.000000,0.227006,0.200000
4.020000,0.292519,0.179920
4.040000,0.166927,0.159680
4.060000,0.190795,0.139280
4.080000,-0.045294,0.118720
4.100000,0.094103,0.098000
4.120000,0.009662,0.077120
4.140000,-0.041425,0.056080
4.160000,-0.035372,0.034880
4.180000,-0.013210,0.013520
4.200000,0.065272,-0.008000
4.220000,-0.135791,-0.029680
4.240000,-0.049069,-0.051520
4.260000,-0.112254,-0.073520
4.280000,-0.121894,-0.095680
4.300000,-0.037779,-0.118000
4.320000,-0.097431,-0.140480
4.340000,-0.056128,-0.163120
4.360000,-0.198280,-0.185920
4.380000,-0.264555,-0.208880
4.400000,-0.249909,-0.232000
4.420000,-0.235880,-0.255280
4.440000,-0.264594,-0.278720
4.460000,-0.389071,-0.302320
4.480000,-0.318841,-0.326080
4.500000,-0.331742,-0.350000
4.520000,-0.172682,-0.374080
4.540000,-0.248172,-0.398320
4.560000,-0.490979,-0.422720
4.580000,-0.470271,-0.447280
4.600000,-0.589075,-0.472000
4.620000,-0.544137,-0.496880
4.640000,-0.496672,-0.521920
4.660000,-0.450652,-0.547120
4.680000,-0.630807,-0.572480
4.700000,-0.650332,-0.598000
4.720000,-0.795463,-0.623680
4.740000,-0.662533,-0.649520
4.760000,-0.760513,-0.675520
4.780000,-0.744035,-0.701680
4.800000,-0.798149,-0.728000
4.820000,-0.762021,-0.754480
4.840000,-0.921738,-0.781120
4.860000,-0.925284,-0.807920
4.880000,-0.664540,-0.834880
4.900000,-0.964994,-0.862000
4.920000,-0.977023,-0.889280
4.940000,-0.769767,-0.916720
4.960000,-0.711915,-0.944320
4.980000,-1.065805,-0.972080
